stream,study_hours,attendance,sleep_hours,internet_usage,mathematics,physics,chemistry,biology,computer_science,english,previous_score,exam_score,strongest_subject,recommended_career,performance_level,attendance_status
Computer Science,9.0,93,7.0,1.8,94,98,92,0,86,92,92.4,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,8.4,99,8.3,0.6,96,87,83,0,96,83,89.0,95.89,Mathematics,Actuary,Excellent,Eligible
Biology,2.1,62,4.6,6.4,43,34,55,39,0,38,41.8,32.0,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Computer Science,3.9,74,6.2,3.6,75,71,71,0,73,53,68.6,60.25,Mathematics,Actuary,Average,Shortage
Biology,6.9,78,7.5,2.2,74,72,82,90,0,74,78.4,81.98,Biology,Doctor,Good,Eligible
Biology,8.9,97,7.8,2.4,97,100,82,90,0,82,90.2,100.0,Physics,Aerospace Engineer,Excellent,Eligible
Computer Science,9.0,98,8.1,1.7,86,96,99,0,93,86,92.0,100.0,Chemistry,Pharmacist,Excellent,Eligible
Biology,3.8,70,6.5,4.3,53,72,73,66,0,54,63.6,56.07,Chemistry,Materials Scientist,Average,Shortage
Computer Science,3.5,73,5.7,3.6,75,73,69,0,65,55,67.4,62.27,Mathematics,Financial Analyst,Average,Shortage
Biology,4.0,74,7.0,3.4,75,74,53,64,0,75,68.2,67.98,Mathematics,Financial Analyst,Average,Shortage
Computer Science,4.8,77,5.8,5.2,53,64,71,0,60,54,60.4,61.07,Chemistry,Materials Scientist,Average,Eligible
Computer Science,2.0,44,5.2,7.2,50,56,53,0,65,50,54.8,42.11,Computer Science,Software Engineer,Needs Improvement,Shortage
Biology,3.1,57,4.7,6.5,48,53,43,41,0,38,44.6,26.45,Physics,Mechanical Engineer,Needs Improvement,Shortage
Computer Science,9.0,100,8.2,1.2,86,87,82,0,95,91,88.2,99.08,Computer Science,Software Engineer,Excellent,Eligible
Computer Science,6.6,83,7.0,2.1,83,82,74,0,89,86,82.8,88.64,Computer Science,AI Engineer,Excellent,Eligible
Biology,8.7,99,8.4,1.8,100,88,82,100,0,89,91.8,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Biology,7.9,90,7.2,1.4,100,97,85,95,0,87,92.8,100.0,Mathematics,Data Scientist,Excellent,Eligible
Biology,4.1,60,7.5,5.8,70,60,61,50,0,73,62.8,60.28,English,Content Writer,Average,Shortage
Computer Science,6.7,76,7.5,3.8,88,82,71,0,76,67,76.8,79.82,Mathematics,Actuary,Good,Eligible
Computer Science,4.7,75,6.8,4.1,61,71,48,0,72,66,63.6,65.83,Computer Science,AI Engineer,Average,Eligible
Computer Science,7.6,97,7.1,0.7,91,85,100,0,98,89,92.6,100.0,Chemistry,Pharmacist,Excellent,Eligible
Computer Science,7.7,89,8.1,0.9,96,90,94,0,94,88,92.4,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,6.9,89,7.6,2.8,72,70,84,0,78,83,77.4,89.49,Chemistry,Forensic Scientist,Excellent,Eligible
Biology,3.1,53,5.5,6.3,40,52,58,44,0,49,48.6,38.54,Chemistry,Materials Scientist,Needs Improvement,Shortage
Computer Science,7.5,94,7.3,1.8,97,90,89,0,98,80,90.8,98.81,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Computer Science,3.4,75,6.4,5.9,58,51,61,0,50,56,55.2,52.45,Chemistry,Chemical Engineer,Average,Eligible
Biology,8.5,98,8.2,1.7,97,94,92,92,0,81,91.2,100.0,Mathematics,Data Scientist,Excellent,Eligible
Biology,5.1,76,6.7,3.9,84,76,83,88,0,79,82.0,85.23,Biology,Doctor,Excellent,Eligible
Computer Science,8.2,93,7.4,0.9,88,96,89,0,89,85,89.4,99.38,Physics,Research Scientist,Excellent,Eligible
Computer Science,6.2,83,6.6,3.6,90,77,72,0,83,75,79.4,81.81,Mathematics,Data Scientist,Good,Eligible
Computer Science,7.1,93,7.5,1.1,90,100,91,0,93,82,91.2,99.2,Physics,Electrical Engineer,Excellent,Eligible
Computer Science,3.4,61,6.7,5.1,68,73,63,0,72,78,70.8,65.86,English,Teacher,Average,Shortage
Biology,5.3,84,7.8,3.1,71,81,78,84,0,86,80.0,85.82,English,Teacher,Excellent,Eligible
Biology,4.7,77,6.8,3.8,56,70,69,54,0,53,60.4,61.41,Physics,Aerospace Engineer,Average,Eligible
Biology,3.0,53,5.6,7.6,57,43,52,36,0,51,47.8,37.57,Mathematics,Statistician,Needs Improvement,Shortage
Biology,1.9,51,5.3,6.7,58,58,45,60,0,37,51.6,36.68,Biology,Biotechnologist,Needs Improvement,Shortage
Computer Science,4.6,74,7.1,5.2,58,63,65,0,51,50,57.4,56.58,Chemistry,Materials Scientist,Average,Shortage
Computer Science,0.9,32,5.3,9.6,26,30,33,0,27,44,32.0,15.52,English,Lawyer,Needs Improvement,Shortage
Computer Science,6.5,88,7.7,3.8,70,79,69,0,75,77,74.0,79.76,Physics,Mechanical Engineer,Good,Eligible
Biology,5.3,90,7.8,3.8,72,71,77,89,0,76,77.0,83.28,Biology,Doctor,Good,Eligible
Computer Science,4.5,71,6.4,4.0,73,53,67,0,53,62,61.6,56.3,Mathematics,Data Scientist,Average,Shortage
Computer Science,2.7,55,6.5,7.6,57,44,55,0,62,63,56.2,45.15,English,Content Writer,Needs Improvement,Shortage
Biology,6.9,76,6.9,3.6,76,79,85,72,0,65,75.4,80.38,Chemistry,Pharmacist,Good,Eligible
Biology,6.2,78,6.5,3.5,81,79,82,89,0,88,83.8,89.7,Biology,Microbiologist,Excellent,Eligible
Biology,5.6,86,6.6,2.9,70,75,84,79,0,65,74.6,79.69,Chemistry,Materials Scientist,Good,Eligible
Computer Science,3.9,77,6.1,4.2,58,69,64,0,74,64,65.8,64.36,Computer Science,AI Engineer,Average,Eligible
Biology,3.5,67,5.7,5.9,68,73,59,58,0,60,63.6,57.1,Physics,Research Scientist,Average,Shortage
Computer Science,9.0,88,7.5,1.7,97,99,88,0,89,95,93.6,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,2.2,70,4.7,7.8,43,55,37,0,62,40,47.4,40.31,Computer Science,AI Engineer,Needs Improvement,Shortage
Computer Science,0.6,40,3.9,7.2,27,22,18,0,36,33,27.2,12.41,Computer Science,AI Engineer,Needs Improvement,Shortage
Biology,3.3,54,4.6,7.8,44,45,57,48,0,65,51.8,37.52,English,Content Writer,Needs Improvement,Shortage
Biology,4.9,66,7.2,4.9,57,54,63,53,0,71,59.6,59.55,English,Journalist,Average,Shortage
Biology,4.0,74,7.1,3.6,67,68,65,69,0,56,65.0,65.49,Biology,Doctor,Average,Shortage
Biology,5.8,76,7.9,2.0,80,71,70,84,0,82,77.4,82.99,Biology,Microbiologist,Good,Eligible
Biology,4.2,81,6.8,3.3,65,55,62,57,0,51,58.0,60.22,Mathematics,Statistician,Average,Eligible
Biology,4.2,78,7.1,3.8,73,59,52,60,0,57,60.2,63.63,Mathematics,Data Scientist,Average,Eligible
Computer Science,5.0,89,8.0,2.5,71,88,86,0,70,65,76.0,80.27,Physics,Electrical Engineer,Good,Eligible
Biology,4.8,81,6.1,3.3,67,66,72,50,0,55,62.0,66.2,Chemistry,Chemical Engineer,Average,Eligible
Biology,8.7,90,8.3,2.4,85,94,83,97,0,86,89.0,100.0,Biology,Microbiologist,Excellent,Eligible
Computer Science,1.9,34,5.1,9.5,16,25,17,0,44,43,29.0,15.73,Computer Science,AI Engineer,Needs Improvement,Shortage
Biology,8.0,94,8.3,2.5,94,91,93,96,0,89,92.6,98.11,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,7.8,97,7.4,2.5,95,100,91,0,94,85,93.0,100.0,Physics,Electrical Engineer,Excellent,Eligible
Computer Science,4.1,73,6.3,3.8,54,62,58,0,67,58,59.8,58.63,Computer Science,Machine Learning Engineer,Average,Shortage
Biology,1.0,36,4.7,7.7,33,26,40,36,0,21,31.2,16.11,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Biology,6.0,78,7.1,3.8,71,88,84,85,0,65,78.6,85.45,Physics,Aerospace Engineer,Excellent,Eligible
Biology,4.8,62,5.6,6.0,72,50,61,57,0,72,62.4,61.06,Mathematics,Statistician,Average,Shortage
Biology,4.1,77,6.3,4.2,55,73,62,75,0,63,65.6,65.97,Biology,Biomedical Researcher,Average,Eligible
Computer Science,6.4,79,7.6,3.8,90,76,71,0,82,67,77.2,82.73,Mathematics,Actuary,Good,Eligible
Computer Science,4.8,60,6.2,4.3,56,70,51,0,57,78,62.4,58.45,English,Journalist,Average,Shortage
Computer Science,3.2,60,5.1,5.9,57,36,37,0,51,46,45.4,41.02,Mathematics,Statistician,Needs Improvement,Shortage
Biology,4.7,62,7.4,5.5,73,57,60,66,0,72,65.6,64.95,Mathematics,Data Scientist,Average,Shortage
Biology,8.6,92,8.3,1.3,90,98,98,99,0,94,95.8,100.0,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,3.0,42,5.2,5.0,37,33,47,0,64,41,44.4,36.43,Computer Science,Software Engineer,Needs Improvement,Shortage
Biology,5.0,70,6.2,5.0,51,62,48,62,0,78,60.2,55.14,English,Content Writer,Average,Shortage
Computer Science,5.3,82,7.3,2.8,85,77,72,0,84,75,78.6,81.74,Mathematics,Actuary,Good,Eligible
Computer Science,5.1,79,7.2,3.8,90,76,84,0,73,69,78.4,83.77,Mathematics,Data Scientist,Good,Eligible
Computer Science,1.2,28,4.9,8.8,39,42,20,0,40,32,34.6,15.94,Physics,Electrical Engineer,Needs Improvement,Shortage
Biology,3.5,60,7.3,4.9,51,51,52,68,0,60,56.4,52.39,Biology,Biomedical Researcher,Average,Shortage
Computer Science,1.7,56,5.1,7.0,44,30,36,0,63,42,43.0,32.63,Computer Science,AI Engineer,Needs Improvement,Shortage
Computer Science,4.9,69,6.7,4.8,58,74,68,0,67,53,64.0,58.84,Physics,Aerospace Engineer,Average,Shortage
Computer Science,2.3,43,5.2,6.6,39,48,60,0,60,56,52.6,41.38,Chemistry,Pharmacist,Needs Improvement,Shortage
Biology,3.0,73,6.2,3.2,56,52,57,72,0,80,63.4,56.09,English,Teacher,Average,Shortage
Computer Science,1.1,40,5.2,9.7,30,29,19,0,33,48,31.8,16.58,English,Teacher,Needs Improvement,Shortage
Computer Science,8.4,95,7.4,2.4,100,88,86,0,98,90,92.4,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Biology,4.1,78,5.5,3.1,55,62,72,63,0,66,63.6,63.28,Chemistry,Materials Scientist,Average,Eligible
Biology,3.2,40,6.4,6.2,50,38,48,51,0,47,46.8,33.19,Biology,Doctor,Needs Improvement,Shortage
Computer Science,3.1,64,7.1,4.3,57,71,67,0,60,77,66.4,61.83,English,Lawyer,Average,Shortage
Biology,4.9,68,6.8,4.2,67,60,50,66,0,64,61.4,58.42,Mathematics,Financial Analyst,Average,Shortage
Computer Science,4.0,64,5.6,4.2,57,56,65,0,73,51,60.4,57.06,Computer Science,Software Engineer,Average,Shortage
Computer Science,4.0,69,6.4,3.1,71,69,75,0,56,79,70.0,66.4,English,Teacher,Average,Shortage
Biology,3.3,75,7.0,5.7,74,75,53,54,0,63,63.8,63.24,Physics,Research Scientist,Average,Eligible
Computer Science,3.5,46,4.6,7.6,60,54,51,0,46,48,51.8,40.74,Mathematics,Statistician,Needs Improvement,Shortage
Computer Science,5.3,86,7.7,4.0,74,82,77,0,92,84,81.8,88.73,Computer Science,Software Engineer,Excellent,Eligible
Computer Science,3.3,79,6.5,4.9,64,54,58,0,77,63,63.2,61.2,Computer Science,AI Engineer,Average,Eligible
Biology,7.6,89,8.1,2.0,95,92,99,94,0,85,93.0,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,8.8,96,8.2,1.3,94,94,84,0,87,95,90.8,100.0,English,Teacher,Excellent,Eligible
Biology,1.7,29,3.8,9.6,43,39,40,41,0,38,40.2,18.54,Mathematics,Financial Analyst,Needs Improvement,Shortage
Biology,9.1,95,8.3,2.2,86,88,84,99,0,90,89.4,98.03,Biology,Microbiologist,Excellent,Eligible
Biology,4.2,66,6.9,3.7,69,59,49,71,0,55,60.6,60.84,Biology,Microbiologist,Average,Shortage
Biology,4.9,80,6.6,5.6,52,75,56,69,0,70,64.4,65.15,Physics,Electrical Engineer,Average,Eligible
Biology,1.7,66,4.7,7.1,44,38,50,34,0,40,41.2,30.16,Chemistry,Chemical Engineer,Needs Improvement,Shortage
Computer Science,6.8,88,6.8,2.2,73,76,77,0,85,65,75.2,81.14,Computer Science,Cybersecurity Analyst,Good,Eligible
Computer Science,9.2,94,8.3,0.9,87,90,100,0,86,89,90.4,100.0,Chemistry,Forensic Scientist,Excellent,Eligible
Biology,2.3,67,5.8,7.7,39,33,55,48,0,42,43.4,37.22,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Computer Science,2.6,42,5.6,7.8,45,35,38,0,51,54,44.6,37.96,English,Journalist,Needs Improvement,Shortage
Computer Science,2.5,61,5.8,5.0,37,48,59,0,34,42,44.0,36.62,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Biology,6.0,90,6.9,2.0,78,88,78,74,0,68,77.2,85.15,Physics,Aerospace Engineer,Excellent,Eligible
Computer Science,4.4,69,5.6,3.6,66,71,50,0,71,78,67.2,66.72,English,Teacher,Average,Shortage
Computer Science,3.3,78,7.3,4.2,63,72,54,0,71,62,64.4,63.52,Physics,Research Scientist,Average,Eligible
Computer Science,4.8,76,7.2,4.6,61,54,53,0,73,51,58.4,58.27,Computer Science,Cybersecurity Analyst,Average,Eligible
Biology,6.7,87,7.4,2.5,72,82,88,72,0,70,76.8,84.02,Chemistry,Forensic Scientist,Good,Eligible
Computer Science,8.3,91,7.1,2.1,87,93,95,0,86,83,88.8,97.03,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,4.4,73,6.2,4.3,69,58,52,0,70,60,61.8,59.81,Computer Science,Machine Learning Engineer,Average,Shortage
Computer Science,6.9,85,7.6,2.0,76,81,80,0,82,78,79.4,88.3,Computer Science,Software Engineer,Excellent,Eligible
Biology,6.8,88,7.5,2.5,71,78,69,89,0,69,75.2,85.03,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,5.2,80,8.0,3.1,82,72,72,0,92,65,76.6,80.17,Computer Science,Cybersecurity Analyst,Good,Eligible
Biology,3.3,82,6.8,6.0,57,65,70,56,0,63,62.2,60.15,Chemistry,Materials Scientist,Average,Eligible
Biology,6.7,75,7.1,2.7,84,74,72,90,0,88,81.6,87.78,Biology,Microbiologist,Excellent,Eligible
Computer Science,7.5,99,7.4,0.6,85,99,93,0,90,95,92.4,100.0,Physics,Research Scientist,Excellent,Eligible
Biology,5.8,75,7.7,3.1,86,88,83,90,0,80,85.4,90.26,Biology,Doctor,Excellent,Eligible
Computer Science,5.0,82,6.2,4.7,57,70,63,0,57,55,60.4,65.16,Physics,Electrical Engineer,Average,Eligible
Computer Science,3.0,77,6.6,4.8,67,51,75,0,56,58,61.4,61.59,Chemistry,Materials Scientist,Average,Eligible
Computer Science,3.5,75,7.4,3.2,63,67,58,0,63,79,66.0,64.19,English,Teacher,Average,Eligible
Computer Science,4.9,77,7.3,6.0,65,69,61,0,67,63,65.0,67.92,Physics,Electrical Engineer,Average,Eligible
Computer Science,5.8,80,7.8,2.3,77,78,90,0,76,88,81.8,84.61,Chemistry,Pharmacist,Good,Eligible
Computer Science,7.3,93,8.2,1.4,85,86,100,0,94,85,90.0,100.0,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,3.7,68,6.5,3.4,69,57,54,0,67,74,64.2,55.97,English,Journalist,Average,Shortage
Computer Science,4.8,71,6.6,4.0,68,68,51,0,66,73,65.2,62.67,English,Teacher,Average,Shortage
Computer Science,6.7,82,7.7,2.6,75,83,87,0,87,75,81.4,86.71,Chemistry,Pharmacist,Excellent,Eligible
Biology,7.5,100,7.2,1.7,99,93,95,92,0,92,94.2,100.0,Mathematics,Data Scientist,Excellent,Eligible
Biology,3.3,61,5.5,5.0,50,42,49,55,0,52,49.6,42.19,Biology,Doctor,Needs Improvement,Shortage
Computer Science,6.4,77,7.6,2.8,89,70,83,0,77,81,80.0,85.22,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,9.3,97,7.4,0.6,95,93,88,0,92,86,90.8,100.0,Mathematics,Statistician,Excellent,Eligible
Computer Science,5.1,79,6.8,2.4,81,70,77,0,76,66,74.0,75.89,Mathematics,Financial Analyst,Good,Eligible
Biology,2.1,41,6.1,5.6,38,57,54,47,0,53,49.8,40.56,Physics,Aerospace Engineer,Needs Improvement,Shortage
Biology,4.2,69,6.9,4.5,56,73,56,71,0,62,63.6,61.16,Physics,Aerospace Engineer,Average,Shortage
Biology,4.7,76,7.0,3.4,52,64,56,53,0,71,59.2,63.31,English,Teacher,Average,Eligible
Biology,2.1,61,5.8,6.6,52,56,39,35,0,42,44.8,38.89,Physics,Electrical Engineer,Needs Improvement,Shortage
Biology,8.3,91,7.8,1.1,85,86,86,92,0,95,88.8,99.87,English,Teacher,Excellent,Eligible
Computer Science,6.5,81,7.5,2.4,87,85,70,0,78,85,81.0,86.99,Mathematics,Actuary,Excellent,Eligible
Computer Science,8.6,100,8.1,1.1,95,88,97,0,88,94,92.4,100.0,Chemistry,Pharmacist,Excellent,Eligible
Biology,2.5,42,5.0,5.2,42,40,51,40,0,51,44.8,33.55,Chemistry,Materials Scientist,Needs Improvement,Shortage
Computer Science,3.7,64,6.9,4.1,74,67,49,0,68,70,65.6,61.06,Mathematics,Financial Analyst,Average,Shortage
Biology,8.8,93,7.6,1.2,87,89,82,87,0,91,87.2,98.42,English,Journalist,Excellent,Eligible
Biology,5.4,77,6.9,2.4,73,72,87,78,0,88,79.6,81.13,English,Content Writer,Good,Eligible
Computer Science,2.2,49,6.4,6.1,50,32,50,0,61,50,48.6,38.28,Computer Science,Machine Learning Engineer,Needs Improvement,Shortage
Computer Science,4.2,61,6.6,5.4,66,60,68,0,55,55,60.8,58.0,Chemistry,Materials Scientist,Average,Shortage
Computer Science,7.0,77,7.6,3.2,89,73,79,0,81,76,79.6,86.68,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,5.6,75,7.7,3.1,82,81,83,0,72,72,78.0,81.16,Chemistry,Chemical Engineer,Good,Eligible
Biology,3.5,65,6.9,4.0,66,75,66,64,0,59,66.0,60.55,Physics,Aerospace Engineer,Average,Shortage
Biology,5.0,80,7.8,2.9,74,72,82,76,0,83,77.4,79.06,English,Content Writer,Good,Eligible
Biology,3.9,60,7.4,5.9,65,68,60,63,0,61,63.4,61.7,Physics,Mechanical Engineer,Average,Shortage
Computer Science,5.6,88,6.7,3.1,78,85,70,0,77,80,78.0,80.37,Physics,Aerospace Engineer,Good,Eligible
Computer Science,5.5,82,7.0,3.3,84,70,68,0,86,81,77.8,81.95,Computer Science,Software Engineer,Good,Eligible
Computer Science,3.4,75,6.2,5.6,72,73,56,0,52,68,64.2,64.77,Physics,Electrical Engineer,Average,Eligible
Biology,3.2,66,5.9,3.9,57,50,69,70,0,66,62.4,56.38,Biology,Biomedical Researcher,Average,Shortage
Biology,10.0,96,8.0,2.2,96,87,99,88,0,90,92.0,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,6.3,83,7.6,2.8,75,75,79,0,83,83,79.0,82.46,Computer Science,Cybersecurity Analyst,Good,Eligible
Computer Science,3.0,51,4.9,5.1,55,52,44,0,47,55,50.6,36.06,Mathematics,Data Scientist,Needs Improvement,Shortage
Biology,3.1,70,6.8,5.8,52,67,71,56,0,64,62.0,53.82,Chemistry,Forensic Scientist,Average,Shortage
Computer Science,5.1,81,6.8,3.4,81,82,89,0,79,70,80.2,82.95,Chemistry,Chemical Engineer,Good,Eligible
Computer Science,7.7,94,7.9,0.8,86,97,96,0,99,89,93.4,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Computer Science,1.6,46,4.7,6.9,40,37,53,0,46,38,42.8,31.41,Chemistry,Pharmacist,Needs Improvement,Shortage
Computer Science,3.6,61,6.8,5.9,64,61,60,0,53,78,63.2,56.7,English,Teacher,Average,Shortage
Biology,3.5,41,5.5,5.0,44,44,41,41,0,49,43.8,34.39,English,Journalist,Needs Improvement,Shortage
Biology,6.8,79,7.9,2.8,82,83,88,79,0,87,83.8,90.98,Chemistry,Pharmacist,Excellent,Eligible
Biology,1.6,27,4.2,8.7,19,16,35,16,0,38,24.8,8.17,English,Content Writer,Needs Improvement,Shortage
Computer Science,4.2,67,6.3,3.7,50,53,56,0,62,75,59.2,57.27,English,Content Writer,Average,Shortage
Computer Science,9.7,90,7.9,0.5,89,95,97,0,100,86,93.4,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Computer Science,6.2,75,7.8,3.3,89,75,83,0,75,84,81.2,86.13,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,7.0,96,8.3,1.4,92,94,93,0,94,84,91.4,97.57,Physics,Aerospace Engineer,Excellent,Eligible
Biology,4.7,62,6.9,4.2,75,59,60,74,0,54,64.4,62.87,Mathematics,Data Scientist,Average,Shortage
Biology,5.8,78,7.8,3.1,81,78,73,86,0,76,78.8,81.73,Biology,Biomedical Researcher,Good,Eligible
Biology,7.2,88,8.3,1.5,86,92,88,97,0,94,91.4,96.56,Biology,Doctor,Excellent,Eligible
Computer Science,4.6,64,6.8,4.8,72,65,75,0,61,56,65.8,64.1,Chemistry,Chemical Engineer,Average,Shortage
Biology,7.6,96,8.2,0.7,96,89,99,96,0,91,94.2,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,2.5,59,6.5,7.9,42,42,56,0,33,43,43.2,29.83,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Biology,0.7,44,4.5,7.4,19,37,38,35,0,35,32.8,17.73,Chemistry,Materials Scientist,Needs Improvement,Shortage
Biology,4.7,80,6.9,4.4,51,71,66,54,0,80,64.4,67.04,English,Content Writer,Average,Eligible
Biology,4.2,62,6.4,3.3,60,74,54,70,0,71,65.8,64.16,Physics,Aerospace Engineer,Average,Shortage
Biology,3.1,66,7.5,3.9,58,53,56,51,0,61,55.8,55.62,English,Lawyer,Average,Shortage
Biology,6.2,78,7.4,3.8,73,84,83,72,0,70,76.4,82.32,Physics,Mechanical Engineer,Good,Eligible
Computer Science,5.9,88,7.2,2.7,78,72,87,0,86,81,80.8,86.67,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,2.3,70,5.8,7.2,47,55,40,58,0,54,50.8,45.81,Biology,Biotechnologist,Needs Improvement,Shortage
Biology,3.3,51,6.2,7.1,53,57,35,40,0,50,47.0,35.75,Physics,Electrical Engineer,Needs Improvement,Shortage
Biology,5.1,81,7.7,3.8,76,76,86,88,0,75,80.2,85.04,Biology,Microbiologist,Excellent,Eligible
Computer Science,9.4,92,7.5,0.8,86,93,99,0,86,83,89.4,98.55,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,8.2,92,7.6,1.1,92,89,93,0,94,83,90.2,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Biology,4.3,70,6.8,5.4,62,75,58,51,0,69,63.0,61.13,Physics,Research Scientist,Average,Shortage
Computer Science,4.1,62,5.9,4.9,67,53,62,0,67,79,65.6,62.74,English,Teacher,Average,Shortage
Computer Science,8.7,94,8.0,1.3,90,97,95,0,92,82,91.2,100.0,Physics,Electrical Engineer,Excellent,Eligible
Computer Science,9.5,100,7.4,1.5,88,86,87,0,98,95,90.8,100.0,Computer Science,Software Engineer,Excellent,Eligible
Biology,6.7,76,8.0,2.1,71,83,78,74,0,80,77.2,83.94,Physics,Electrical Engineer,Good,Eligible
Computer Science,7.1,94,7.1,1.7,96,90,92,0,90,94,92.4,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Computer Science,5.2,89,6.9,3.9,75,79,77,0,92,72,79.0,83.25,Computer Science,Cybersecurity Analyst,Good,Eligible
Biology,2.2,56,5.7,5.8,54,39,52,56,0,45,49.2,41.22,Biology,Biotechnologist,Needs Improvement,Shortage
Computer Science,1.1,37,4.3,8.1,41,43,35,0,32,27,35.6,18.31,Physics,Research Scientist,Needs Improvement,Shortage
Biology,2.3,44,5.7,5.6,60,60,43,45,0,40,49.6,37.33,Mathematics,Actuary,Needs Improvement,Shortage
Biology,7.3,92,7.1,1.6,88,89,99,93,0,83,90.4,99.84,Chemistry,Materials Scientist,Excellent,Eligible
Biology,4.3,69,6.9,3.4,63,61,66,53,0,66,61.8,60.04,Chemistry,Forensic Scientist,Average,Shortage
Computer Science,3.2,72,7.4,4.9,66,50,59,0,73,59,61.4,55.54,Computer Science,AI Engineer,Average,Shortage
Computer Science,9.4,98,7.9,2.3,98,99,84,0,92,92,93.0,100.0,Physics,Research Scientist,Excellent,Eligible
Biology,7.0,95,7.7,2.3,89,89,98,96,0,94,93.2,100.0,Chemistry,Forensic Scientist,Excellent,Eligible
Computer Science,4.4,65,5.8,3.7,66,51,68,0,59,51,59.0,57.27,Chemistry,Pharmacist,Average,Shortage
Biology,3.0,64,5.4,6.8,43,53,34,60,0,52,48.4,40.89,Biology,Microbiologist,Needs Improvement,Shortage
Biology,6.4,83,6.8,3.2,83,75,72,80,0,65,75.0,77.58,Mathematics,Actuary,Good,Eligible
Computer Science,1.7,41,4.8,8.1,38,27,22,0,25,22,26.8,8.29,Mathematics,Statistician,Needs Improvement,Shortage
Computer Science,9.9,97,8.3,1.9,96,100,92,0,98,88,94.8,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,7.2,88,8.4,0.8,93,91,87,0,85,91,89.4,98.35,Mathematics,Actuary,Excellent,Eligible
Biology,7.9,91,7.8,1.8,85,85,82,99,0,95,89.2,98.62,Biology,Microbiologist,Excellent,Eligible
Computer Science,6.7,77,7.8,2.3,73,88,80,0,80,76,79.4,85.08,Physics,Electrical Engineer,Excellent,Eligible
Biology,7.7,88,7.9,2.1,88,85,88,93,0,84,87.6,93.94,Biology,Doctor,Excellent,Eligible
Computer Science,4.2,69,6.9,3.3,71,69,54,0,62,77,66.6,64.74,English,Content Writer,Average,Shortage
Computer Science,5.4,90,7.0,3.6,76,81,73,0,79,79,77.6,84.67,Physics,Mechanical Engineer,Good,Eligible
Computer Science,4.6,77,6.8,4.2,60,59,70,0,70,73,66.4,66.87,English,Teacher,Average,Eligible
Computer Science,5.8,75,7.0,2.1,90,88,77,0,80,79,82.8,86.61,Mathematics,Actuary,Excellent,Eligible
Computer Science,5.6,79,7.4,2.2,86,80,75,0,71,80,78.4,83.5,Mathematics,Financial Analyst,Good,Eligible
Biology,4.9,78,6.3,5.3,53,55,54,67,0,59,57.6,62.15,Biology,Microbiologist,Average,Eligible
Computer Science,7.4,96,7.8,2.2,99,89,84,0,99,85,91.2,98.6,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,2.8,45,6.2,7.9,53,54,53,0,43,45,49.6,38.47,Physics,Electrical Engineer,Needs Improvement,Shortage
Computer Science,3.2,61,6.7,4.2,68,66,57,0,73,57,64.2,59.41,Computer Science,AI Engineer,Average,Shortage
Computer Science,6.7,90,7.4,3.1,79,79,88,0,91,86,84.6,90.44,Computer Science,Machine Learning Engineer,Excellent,Eligible
Biology,7.5,96,7.7,2.4,91,92,89,94,0,94,92.0,99.3,Biology,Doctor,Excellent,Eligible
Computer Science,2.9,61,6.2,7.8,52,60,53,0,53,43,52.2,44.78,Physics,Research Scientist,Needs Improvement,Shortage
Computer Science,6.8,89,6.6,2.7,85,79,77,0,70,76,77.4,83.62,Mathematics,Financial Analyst,Good,Eligible
Biology,2.2,54,6.3,7.6,40,48,58,38,0,35,43.8,32.6,Chemistry,Chemical Engineer,Needs Improvement,Shortage
Biology,4.8,64,6.8,4.7,75,59,55,69,0,76,66.8,63.58,English,Content Writer,Average,Shortage
